KOD_FASILITI,NAMA,ALAMAT,POSKOD,NEGERI,DAERAH,STATUS,SEKTOR,KATEGORI_FASILITI,JENIS_FASILITI
11-02080016,HOSPITAL KUALA NERANG,KUALA NERANG,06300,KEDAH,PADANG TERAP,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-02110021,HOSPITAL YAN,BATU 25 JALAN YAN,06900,KEDAH,YAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-03020013,HOSPITAL GUA MUSANG,BANDAR BARU,18300,KELANTAN,GUA MUSANG,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-03040012,HOSPITAL RAJA PEREMPUAN ZAINAB II,JALAN HOSPITAL,15000,KELANTAN,KOTA BHARU,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-03050015,HOSPITAL SULTAN ISMAIL PETRA,JALAN KOTA BHARU,18000,KELANTAN,KUALA KRAI,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-03060016,HOSPITAL MACHANG,JALAN PASIR PUTEH,18500,KELANTAN,MACHANG,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-03070017,HOSPITAL PASIR MAS,JALAN MERANTI,17000,KELANTAN,PASIR MAS,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-03080019,HOSPITAL TENGKU ANIS,JALAN PASIR PUTEH,16800,KELANTAN,PASIR PUTEH,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-03100020,HOSPITAL TUMPAT,JALAN KELABURAN,16200,KELANTAN,TUMPAT,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-03010481,HOSPITAL BACHOK,"JALAN GUNONG-JELAWAT, KAMPUNG BATOR",16300,KELANTAN,BACHOK,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
12-03040296,HOSPITAL UNIVERSITI SAINS MALAYSIA,"UNIVERSITI SAINS MALAYSIA, KAMPUS KESIHATAN, JALAN RAJA PEREMPUAN ZAINAB 2",16150,KELANTAN,KOTA BHARU,BUKA,AWAM,HOSPITAL,HOSPITAL PENGAJAR
11-04010006,HOSPITAL ALOR GAJAH,JALAN PAYA DATUK,78000,MELAKA,ALOR GAJAH,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-04030005,HOSPITAL MELAKA,JALAN MUFTI HAJI KHALIL,75400,MELAKA,MELAKA TENGAH,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
12-04030113,94 HOSPITAL ANGKATAN TENTERA KEM TERENDAK,"NO. 94, HOSPITAL ANGKATAN TENTERA KEM TRENDAK",76200,MELAKA,MELAKA TENGAH,BUKA,AWAM,HOSPITAL,HOSPITAL TENTERA
11-05010010,HOSPITAL JELEBU,KUALA KLAWANG,71600,NEGERI SEMBILAN,JELEBU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-05020011,HOSPITAL JEMPOL,BANDAR SERI JEMPOL,72120,NEGERI SEMBILAN,JEMPOL,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-05030014,HOSPITAL TUANKU AMPUAN NAJIHAH,KM 3 JALAN MELANG,72000,NEGERI SEMBILAN,KUALA PILAH,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-05040012,HOSPITAL PORT DICKSON,"KM 11, JALAN PANTAI, SIRUSA",71050,NEGERI SEMBILAN,PORT DICKSON,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-05050297,HOSPITAL REMBAU,"JALAN DATO' UNDANG HAJI MUHAMAD SHARIP, CHEMBONG",71300,NEGERI SEMBILAN,REMBAU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-05060009,HOSPITAL TUANKU JA'AFAR,JALAN RASAH,70300,NEGERI SEMBILAN,SEREMBAN,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-05070013,HOSPITAL TAMPIN,JALAN HAJI AHMAD ZAINUDDIN,73000,NEGERI SEMBILAN,TAMPIN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
12-05070188,HOSPITAL TENTERA DARAT GEMAS,KEM SYED SIRAJUDDIN,73400,NEGERI SEMBILAN,GEMAS,BUKA,AWAM,HOSPITAL,HOSPITAL TENTERA
11-06030015,HOSPITAL SULTANAH HAJJAH KALSOM,"PERSIARAN DAYANG ENDAH, CAMERON HIGHLANDS",39000,PAHANG,CAMERON HIGHLANDS,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-06050013,HOSPITAL TENGKU AMPUAN AFZAN,JALAN AIR PUTIH,25100,PAHANG,KUANTAN,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-06070016,HOSPITAL JENGKA,"BANDAR TUN ABDUL RAZAK JENGKA, BANDAR PUSAT JENGKA",26400,PAHANG,MARAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-06090021,HOSPITAL RAUB,JALAN TENGKU ABD SAMAD,27600,PAHANG,RAUB,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-06100400,HOSPITAL ROMPIN,JALAN KAMPUNG. KOLAM ROMPIN,26800,PAHANG,ROMPIN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-06110022,HOSPITAL SULTAN HJ AHMAD SHAH,JALAN MARAN,28000,PAHANG,TEMERLOH,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-06020561,HOSPITAL BERA,TAMAN KERAYONG JAYA,28200,PAHANG,BERA,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
12-06050521,SULTAN AHMAD SHAH MEDICAL CENTRE @ IIUM MEDICAL CENTRE,"SULTAN AHMAD SHAH MEDICAL CENTRE @IIUM, JALAN SULTAN HAJI AHMAD SHAH, BANDAR INDERA MAHKOTA",25200,PAHANG,KUANTAN,BUKA,AWAM,HOSPITAL,HOSPITAL PENGAJAR
11-08010023,HOSPITAL TAPAH,JALAN TEMOH,35000,PERAK,BATANG PADANG,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08020024,HOSPITAL TELUK INTAN,JALAN CHANGKAT JONG,36000,PERAK,HILIR PERAK,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-08030014,HOSPITAL GERIK,JALAN INTAN,33300,PERAK,HULU PERAK,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08040017,HOSPITAL PARIT BUNTAR,JALAN SEMPADAN,34200,PERAK,KERIAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08050011,HOSPITAL RAJA PERMAISURI BAINUN,JALAN HOSPITAL,30400,PERAK,KINTA,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-08050012,HOSPITAL BATU GAJAH,JALAN CHANGKAT,31000,PERAK,KINTA,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08060016,HOSPITAL KUALA KANGSAR,JALAN SULTAN IDRIS SHAH 1,33000,PERAK,KUALA KANGSAR,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08060021,HOSPITAL SUNGAI SIPUT,JALAN FELDA LASAH,31100,PERAK,KUALA KANGSAR,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08070018,HOSPITAL SELAMA,JALAN TAIPING,34100,PERAK,LARUT DAN MATANG,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08070022,HOSPITAL TAIPING,JALAN TAMING SARI,34000,PERAK,LARUT DAN MATANG,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-08090013,HOSPITAL SERI ISKANDAR,"LAMBOR KANAN, PARIT",32900,PERAK,PERAK TENGAH,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-08110015,HOSPITAL KAMPAR,JALAN HOSPITAL,31900,PERAK,KAMPAR,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
12-08080382,96 HOSPITAL ANGKATAN TENTERA LUMUT,96 HOSPITAL ANGKATAN TENTERA PANGKALAN TLDM,32100,PERAK,MANJUNG,BUKA,AWAM,HOSPITAL,HOSPITAL TENTERA
11-09010003,HOSPITAL TUANKU FAUZIAH,"PEJABAT PENGARAH, HOSPITAL TUANKU FAUZIAH, JALAN KOLAM",01000,PERLIS,KANGAR,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-07010010,HOSPITAL BALIK PULAU,BALIK PULAU,11000,PULAU PINANG,BARAT DAYA,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-07020014,HOSPITAL SUNGAI BAKAP,"SUNGAI JAWI, SEBERANG PERAI SELATAN",14200,PULAU PINANG,SEBERANG PERAI SELATAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-07030011,HOSPITAL BUKIT MERTAJAM,"JALAN KULIM, BUKIT MERTAJAM",14000,PULAU PINANG,SEBERANG PERAI TENGAH,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-07030013,HOSPITAL SEBERANG JAYA,"JALAN TUN HUSSEIN ONN, PERAI",13700,PULAU PINANG,SEBERANG PERAI TENGAH,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-07040012,HOSPITAL KEPALA BATAS,"JALAN BERTAM, KEPALA BATAS",13200,PULAU PINANG,SEBERANG PERAI UTARA,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-07050009,HOSPITAL PULAU PINANG,JALAN RESIDENSI,10990,PULAU PINANG,TIMUR LAUT,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-12010026,HOSPITAL BEAUFORT,PETI SURAT 40,89807,SABAH,BEAUFORT,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12020027,HOSPITAL BELURAN,"KARUNG BERKUNCI NO. 02, PEKAN BELURAN",90109,SABAH,BELURAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12030029,HOSPITAL KENINGAU,PETI SURAT 11,89007,SABAH,KENINGAU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-12040030,HOSPITAL KINABATANGAN,W.D.T 200,90020,SABAH,KINABATANGAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12050031,HOSPITAL KOTA BELUD,PETI SURAT 159,89150,SABAH,KOTA BELUD,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12060025,HOSPITAL QUEEN ELIZABETH,KARUNG BERKUNCI NO. 2029,88586,SABAH,KOTA KINABALU,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-12060388,HOSPITAL QUEEN ELIZABETH II,"LORONG BERSATU, OFF JALAN DAMAI LUYANG",88300,SABAH,KOTA KINABALU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-12070032,HOSPITAL KOTA MARUDU,PETI SURAT 255,89108,SABAH,KOTA MARUDU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12080033,HOSPITAL KUALA PENYU,W.D.T. 35,89740,SABAH,KUALA PENYU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12090034,HOSPITAL KUDAT,PETI SURAT 22,89057,SABAH,KUDAT,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12100035,HOSPITAL KUNAK,W.D.T. 150,91209,SABAH,KUNAK,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12110036,HOSPITAL LAHAD DATU,PETI SURAT 60065,91110,SABAH,LAHAD DATU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-12130037,HOSPITAL PAPAR,PETI SURAT NO. 6,89607,SABAH,PAPAR,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12150038,HOSPITAL PITAS,PETI SURAT 88,89100,SABAH,PITAS,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12160039,HOSPITAL RANAU,"KARUNG BERKUNCI 7, JALAN HOSPITAL",89300,SABAH,RANAU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12170028,HOSPITAL DUCHESS OF KENT,"KM 3.2, JALAN UTARA",90000,SABAH,SANDAKAN,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-12180040,HOSPITAL SEMPORNA,PETI SURAT 80,91307,SABAH,SEMPORNA,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12190041,HOSPITAL SIPITANG,PETI SURAT 250,89857,SABAH,SIPITANG,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12200042,HOSPITAL TAMBUNAN,PETI SURAT 10,89657,SABAH,TAMBUNAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12210043,HOSPITAL TAWAU,PETI SURAT 67,91000,SABAH,TAWAU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-12220044,HOSPITAL TENOM,PETI SURAT 97,89907,SABAH,TENOM,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-12240380,HOSPITAL TUARAN,PETI SURAT 996,89207,SABAH,TUARAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13020019,HOSPITAL BAU,"BATU 1 1/2, JALAN BAU-LUNDU",94000,SARAWAK,BAU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13040020,HOSPITAL BETONG,JALAN BETONG,95707,SARAWAK,BETONG,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13050021,HOSPITAL BINTULU,JALAN NYABAU,97000,SARAWAK,BINTULU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-13060246,HOSPITAL DALAT,"FASA 1, JALAN OYA-DALAT",96300,SARAWAK,DALAT,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13070022,HOSPITAL DARO,JALAN ITOL,96200,SARAWAK,DARO,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13090023,HOSPITAL KANOWIT,JALAN KANOWIT/ DURIN,96700,SARAWAK,KANOWIT,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13100024,HOSPITAL KAPIT,JALAN MEMORA,96800,SARAWAK,KAPIT,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-13110018,HOSPITAL UMUM SARAWAK,JALAN TUN AHMAD ZAIDI ADRUCE,93586,SARAWAK,KUCHING,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-13110037,HOSPITAL RAJAH CHARLES BROOKE MEMORIAL,"BATU 13, JALAN PUNCAK BORNEO, KOTA PADAWAN",93250,SARAWAK,KUCHING,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13120025,HOSPITAL LAWAS,JALAN HOSPITAL,98850,SARAWAK,LAWAS,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13130026,HOSPITAL LIMBANG,JALAN PANDARUAN,98700,SARAWAK,LIMBANG,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-13150027,HOSPITAL LUNDU,JALAN SEKAMBAL,94500,SARAWAK,LUNDU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13170028,HOSPITAL MARUDI,JALAN BUNGOR,98050,SARAWAK,MARUDI,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13190029,HOSPITAL MIRI,JALAN CAHAYA,98000,SARAWAK,MIRI,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-13200030,HOSPITAL MUKAH,JALAN HAJI MOHAMED PAUZI,96400,SARAWAK,MUKAH,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13230031,HOSPITAL SARATOK,"KM 1, JALAN SARATOK",95400,SARAWAK,SARATOK,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13240032,HOSPITAL SARIKEI,JALAN RENTAP,96100,SARAWAK,SARIKEI,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-13270034,HOSPITAL SIBU,"BATU 5 1/2, JALAN ULU OYA",96000,SARAWAK,SIBU,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-13280035,HOSPITAL SIMUNJAN,JALAN GUNUNG NGELI,94800,SARAWAK,SIMUNJAN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-13300036,HOSPITAL SRI AMAN,JALAN HOSPITAL,95007,SARAWAK,SRI AMAN,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-10010017,HOSPITAL SELAYANG,LEBUHRAYA SELAYANG-KEPONG,68100,SELANGOR,GOMBAK,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-10010019,HOSPITAL SUNGAI BULUH,JALAN HOSPITAL,47000,SELANGOR,GOMBAK,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-10010233,HOSPITAL ORANG ASLI GOMBAK,KM 24 JALAN PAHANG LAMA,53100,SELANGOR,GOMBAK,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-10020015,HOSPITAL TENGKU PERMAISURI NORASHIKIN (HOSPITAL KAJANG),JALAN SEMENYIH,43000,SELANGOR,HULU LANGAT,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-10020022,HOSPITAL AMPANG,JALAN MEWAH UTARA,68000,SELANGOR,HULU LANGAT,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-10030016,HOSPITAL KUALA KUBU BHARU,JALAN HOSPITAL,44000,SELANGOR,HULU SELANGOR,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-10040013,HOSPITAL TENGKU AMPUAN RAHIMAH,JALAN LANGAT,41200,SELANGOR,KLANG,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-10050014,HOSPITAL BANTING,JALAN SULTAN ALAM SHAH,42700,SELANGOR,KUALA LANGAT,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-10060020,HOSPITAL TANJONG KARANG,TANJUNG KARANG,45500,SELANGOR,KUALA SELANGOR,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-10070294,HOSPITAL SHAH ALAM,"PERSIARAN KAYANGAN, SEKSYEN 7",40000,SELANGOR,PETALING,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-10090018,HOSPITAL SULTAN IDRIS SHAH,JALAN PUCHONG,43000,SELANGOR,SEPANG,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-10072300,HOSPITAL CYBERJAYA,"PERSIARAN SEPANG, CYBER 11",63000,SELANGOR,SEPANG,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
12-10070778,HOSPITAL SULTAN ABDUL AZIZ SHAH (HSAAS),PERSIARAN MARDI - UPM,43400,SELANGOR,SEPANG,BUKA,AWAM,HOSPITAL,HOSPITAL PENGAJAR
12-10010762,PUSAT PAKAR PERUBATAN UITM (SUNGAI BULOH),"PUSAT PAKAR PERUBATAN UITM (SUNGAI BULOH), KAMPUS SUNGAI BULOH, JALAN HOSPITAL",47000,SELANGOR,GOMBAK,BUKA,AWAM,HOSPITAL,HOSPITAL PENGAJAR
12-10042306,HOSPITAL AL- SULTAN ABDULLAH,UNIVERSITI TEKNOLOGI MARA,42300,SELANGOR,KUALA SELANGOR,BUKA,AWAM,HOSPITAL,HOSPITAL PENGAJAR
11-11010010,HOSPITAL BESUT,"JALAN PASIR AKAR, JERTEH",22000,TERENGGANU,BESUT,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-11020011,HOSPITAL DUNGUN,HOSPITAL DUNGUN,23000,TERENGGANU,DUNGUN,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-11030012,HOSPITAL HULU TERENGGANU,"BATU 23, JALAN KUALA BERANG",21700,TERENGGANU,HULU TERENGGANU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-11040013,HOSPITAL KEMAMAN,"JALAN DA' OMAR, CUKAI",24000,TERENGGANU,KEMAMAN,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-11050009,HOSPITAL SULTANAH NUR ZAHIRAH,JALAN SULTAN MAHMUD,20400,TERENGGANU,KUALA TERENGGANU,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-11070014,HOSPITAL SETIU,BANDAR PERMAISURI,22100,TERENGGANU,SETIU,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-14010002,HOSPITAL KUALA LUMPUR,JALAN PAHANG,50586,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,BUKA,AWAM,HOSPITAL,HOSPITAL NEGERI
11-15010003,HOSPITAL LABUAN,PETI SURAT 81006,87020,WILAYAH PERSEKUTUAN LABUAN,LABUAN,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MINOR
11-16010002,HOSPITAL PUTRAJAYA,"PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, PRESINT 7",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,PUTRAJAYA,BUKA,AWAM,HOSPITAL,HOSPITAL PAKAR MAJOR
11-01020020,HOSPITAL PERMAI,"JALAN TAMPOI, TAMPOI",81200,JOHOR,JOHOR BAHRU,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-08050025,HOSPITAL BAHAGIA ULU KINTA,TANJONG RAMBUTAN,31250,PERAK,KINTA,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
12-12060416,HOSPITAL ANGKATAN TENTERA WILAYAH KOTA KINABALU,TELUK SEPANGGAR,89200,SABAH,KOTA KINABALU,BUKA,AWAM,HOSPITAL,HOSPITAL TENTERA
11-12060045,HOSPITAL WANITA DAN KANAK - KANAK SABAH,KARUNG BERKUNCI 187,88996,SABAH,KOTA KINABALU,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-12060046,HOSPITAL MESRA BUKIT PADANG,"PETI SURAT 11342, BUKIT PADANG",88815,SABAH,KOTA KINABALU,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-13220638,PUSAT JANTUNG SARAWAK,JALAN EXPRESSWAY,94300,SARAWAK,KOTA SAMARAHAN,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-13110038,HOSPITAL SENTOSA,"KOTA SENTOSA, BATU 7, JALAN PENRISSEN",93250,SARAWAK,KUCHING,BUKA,AWAM,HOSPITAL,HOSPITAL TANPA PAKAR
11-10010023,PUSAT KAWALAN KUSTA NEGARA,SUNGAI BULUH,47000,SELANGOR,GOMBAK,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-14010007,INSTITUT PERUBATAN RESPIRATORI,JALAN PAHANG,53000,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-14010056,HOSPITAL REHABILITASI CHERAS,"JALAN YAACOB LATIF, BANDAR TUN RAZAK",56000,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
11-14010410,HOSPITAL TUNKU AZIZAH,JALAN RAJA MUDA ABDUL AZIZ KAMPUNG BARU,50300,WILAYAH PERSEKUTUAN KUALA LUMPUR,KUALA LUMPUR,BUKA,AWAM,HOSPITAL,INSTITUSI PERUBATAN KHAS
